"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Home Page Sign In","1","0","Invalid User Login","0"
"0","Home Page","0","Branding & Navigation","1","0","Verify Henry Schein Logo","0"
"0","Search Functionality","0","Home Page Search","1","0","Search Suggestions","0"
"0","Shopping Cart","0","Cart Functionality","1","0","Cart Item Count","0"
"0","User Authentication","1","Sign In Functionality","0","0","Invalid Login Attempt","0"
"0","Authentication","0","Home Page Sign In","1","0","Valid User Login","0"
"0","Footer Section","0","Footer Links","1","0","Footer Functionality","0"
"0","Home Page","0","Banner Slider","1","0","Banner Functionality","0"
"0","Main Menu","0","Main Menu Functionality","1","0","Main Menu Buttons","0"
"0","User Interface","0","Tooltip Functionality","1","0","Address Tooltip","0"
"0","Main Menu","1","Main Menu Functionality","0","0","Main Menu Links","0"
"0","Authentication","0","Home Page Sign Up","1","0","User Registration","0"
